title,tier,image_filename,frame,hint_1,hint_2
12 Angry Men,Hard,12_Angry_Men.png,last,"There were eleven votes for guilty. It’s not easy to raise my hand and send a boy off to die without talking about it first.",
12 Monkeys,Hard,12_Monkeys.jpg,first,"I'm here about some monkeys.",
1984,Medium,1984.jpg,first,"Oranges and lemons, say the bells of St. Clements...",
21 Grams,Medium,21_Grams.jpg,first,"How many lives do we live? How many times do we die? How much goes with them? How much is gained? The weight of a stack of five nickels. The weight of a hummingbird. A chocolate bar.",
25th Hour,Medium,25th_Hour.jpg,last,"Champagne for my real friends, and real pain for my sham friends.",
28 Days Later,Medium,28_Days_later.jpg,first,"They have been infected with rage!",
A Clockwork Orange,Medium,A_Clockwork_Orange.jpg,last,"There was me, that is Alex, and my three droogs, that is Pete, Georgie, and Dim, and we sat in the Korova Milkbar.",
A Field in England,Hard,A_Field_in_England.jpg,last,"You cannot escape the field, Whitehead!",
Adaptation,Hard,Adaptation.jpg,first,"You know why I like plants? Because they're so mutable.",
Aftersun,Hard,Aftersun.jpg,first,"When you were 11, what did you think you would be doing now?",
Alien,Easy,Alien.jpg,last,"Final report of the commercial starship Nostromo, third officer reporting. The other members of the crew - Kane, Lambert, Parker, Brett, Ash, and Captain Dallas - are dead","Something has attached itself to him. We have to get him to the infirmary right away."
Almost Famous,Medium,Almost_Famous.jpg,last,"Rock stars have kidnapped my son!",
American Beauty,Medium,American_Beauty.jpg,last,"Look at me, jerking off in the shower. This will be the highpoint of my day. It's all downhill from here",
American History X,Hard,American_History_X.jpg,first,"All the wrong people knew who I was anyways, so I figured I'm just gonna put up a flag and hope a friend sees it.",
American Psycho,Easy,American_Psycho.jpg,last,"I have to return some videotapes!","Do you like Huey Lewis and the news?"
American Gangster,Medium,American_Gangster.jpg,first,"I got Harlem. I took care of Harlem, so Harlem's gonna take care of me.",
Apocalypse Now,Easy,Apocalypse_Now.jpg,last,"I love the smell of napalm in the morning.","The horror... the horror..."
Apollo 13,Medium,Apollo_13.jpg,first,"Houston, we have a problem",
Armageddon,Easy,Armageddon.jpg,last,"You know we're sitting on four million pounds of fuel, one nuclear weapon and a thing that has 270,000 moving parts built by the lowest bidder. Makes you feel good, doesn't it?","Leaving, on a jetplane, don't know when I'll be back again."
Back to the Future,Easy,Back_to_the_Future.jpg,first,"Roads? Where we're going, we don't need roads.",
Backdraft,Hard,Backdraft.jpg,first,"Burn it all.",
Bad Lieutenant,Hard,Bad_Lieutenant.png,last,"You don't have a lucky crack pipe?",
Barbie,Easy,Barbie.jpg,first,"I do not have a vagina and he does not have a penis. We have no genitals.","I'm just Ken and I'm enough / And I'm great at doing stuff."
Batman Returns,Easy,Batman_Returns.jpg,last,"You gotta admit I played this stinkin' city like a harp from hell!","My dear penguins, we stand on a great threshold! It's okay to be scared; many of you won't be coming back."
Beetlejuice,Easy,Beetlejuice.jpg,last,"I got demons running all through me, all through me!","God damn sandworms!"
Being John Malkovich,Medium,Being_John_Malkovich.jpg,first,"Malcatraz!"
Big Trouble in Little China,Medium,Big_Trouble_in_Little_China.jpg,first,"Just remember what ol' Jack Burton does when the earth quakes, and the poison arrows fall from the sky, and the pillars of Heaven shake.",
Big,Hard,Big.jpg,first,"You can't keep a kid from growing up. All a 13-year-old boy wants is a 13-year-old girl. And I sure don't know how to build one of those.",
Birdman,Medium,Birdman.jpg,first,"A man becomes a critic when he cannot be an artist, the same way that a man becomes an informer when he cannot be a soldier.",
Black Hawk Down,Medium,Black_Hawk_Down.jpg,first,"They won't understand that it's about the men next to you, and that's it. That's all it is.",
Black Swan,Easy,Black_Swan.jpg,first,"I just want to be perfect.","It's the role, isn't it? It's all this pressure? I knew it would be too much. I knew it!"
Blade Runner,Medium,Blade_Runner.jpg,last,"Quite an experience to live in fear, isn't it? That's what it is to be a slave.",
Blow,Medium,Blow.jpg,last,"There are no more white horses or pretty ladies at my door.",
Blue Velvet,Hard,Blue_Velvet.jpg,first,"Play candy colored clown."
Boogie Nights,Easy,Boogie_Nights.jpg,last,"Ah... my fuckin' wife, man, she's over there... she's got some idiot's dick in her, people standing around watching - it's a fuckin' embarassment.","And this name is just so bright and so sharp that the sign - it just blows up because the name is so just. powerful. - It says: Dirk Diggler."
Boyz n the Hood,Hard,Boyz_n_the_Hood.jpg,first," I ain't from Africa, I'm from Crenshaw Mafia!",
Bram Stokers Dracula,Hard,Bram_Stokers_Dracula.jpg,first,"I have crossed oceans of time to find you.",
Braveheart,Easy,Braveheart.jpg,last,"Your heart is free. Have the courage to follow it.","The trouble with Scotland is that it's full of Scots"
Brazil,Hard,Brazil.jpg,last,"What is this mess? An empty desk is an efficient desk.",
Bridesmaids,Easy,Bridesmaids.jpg,last,"Why can't you be happy for me and then go home and talk about me behind my back like a normal person?","You're really doing it, aren't ya? You're shitting in the street!"
Bringing Out the Dead,Hard,Bringing_Out_the_Dead.jpg,first,"Saving someone's life is like falling in love. The best drug in the world. For days, sometimes weeks afterwards, you walk the streets, making infinite whatever you see",
Brokeback_Mountain,Hard,Brokeback_Mountain.jpg,first," I wish I knew how to quit you.",
Candyman,Hard,Candyman.jpg,first,"They will say that I have shed innocent blood. What's blood for if not for shedding? With my hook for a hand, I'll split you from your groin to your gullet. I came for you.",
Cape Fear,Easy,Cape_Fear.jpg,first,"He said something about loss, you're gonna learn about loss.","I can out-learn you. I can out-read you. I can out-think you. And I can out-philosophize you. And I'm gonna outlast you."
Carlitos Way,Medium,Carlitos_Way.jpg,first,"Hey remember me, Benny Blanco from the Bronx?",
Casino Royale,Easy,Casino_Royale.jpg,first,"I'm sorry. That last hand... nearly killed me.",
Casino,Medium,Casino.jpg,first,"Back home, they would have put me in jail for what I'm doing. Here, they're giving me awards.",
Cast Away,Medium,Cast_Away.jpg,first,"Don't worry Wilson, I'll do all the paddling. You just hang on.",
Catch Me If You Can,Easy,Catch_Me_If_You_Can.jpg,first,"Two little mice fell in a bucket of cream. The first mouse quickly gave up and drowned.","How'd you do it, Frank? How did you cheat on the bar exam in Louisiana?"
Children of Men,Hard,Children-of_Men.jpg,last,"The world was stunned today by the death of Diego Ricardo, the youngest person on the planet, the youngest person on earth was 18 years, 4 months, 20 days, 16 hours, and 8 minutes old.",
Citizen Kane,Medium,Citizen_Kane.jpg,first,"Well, I always gagged on that silver spoon.",
Civil War,Medium,Civil_War.jpg,last,"Okay. What kind of American are you? You don't know?",
Clueless,Medium,Clueless.jpg,first,"Do you prefer ""fashion victim"" or ""ensembly challenged""?",
Coming to America,Medium,Coming_to_America.jpg,first,"Look... me and the McDonald's people got this little misunderstanding. See, they're McDonald's... I'm McDowell's. They got the Golden Arches, mine is the Golden Arcs.","Sexual chocolate!"
Creed,Easy,Creed.jpg,last,"It ain't about how hard you can hit. It's about how hard you can get hit and keep moving forward.","One step at a time. One punch at a time. One round at a time."
Dallas Buyers Club,Hard,Dallas_Buyers_Club.jpg,first,"Let me give y'all a little news flash. There ain't nothin' out there can kill fuckin' Ron Woodroof in 30 days."
Deliverance,Medium,Deliverance.jpg,last,"I bet you can squeal like a pig. Weeeeeeee!",
